,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Deck
447,1,1,1,34.0,0,0,26.55,2,2
448,1,3,0,5.0,2,1,19.2583,0,2
449,1,1,1,52.0,0,0,30.5,2,2
450,0,2,1,36.0,1,2,27.75,2,2
451,0,3,1,29.69911764705882,1,0,19.9667,2,2
452,0,1,1,30.0,0,0,27.75,0,2
453,1,1,1,49.0,1,0,89.1042,0,2
454,0,3,1,29.69911764705882,0,0,8.05,2,2
455,1,3,1,29.0,0,0,7.8958,0,2
456,0,1,1,65.0,0,0,26.55,2,4
457,1,1,0,29.69911764705882,1,0,51.8625,2,3
458,1,2,0,50.0,0,0,10.5,2,2
459,0,3,1,29.69911764705882,0,0,7.75,1,2
460,1,1,1,48.0,0,0,26.55,2,4
461,0,3,1,34.0,0,0,8.05,2,2
462,0,1,1,47.0,0,0,38.5,2,4
463,0,2,1,48.0,0,0,13.0,2,2
464,0,3,1,29.69911764705882,0,0,8.05,2,2
465,0,3,1,38.0,0,0,7.05,2,2
466,0,2,1,29.69911764705882,0,0,0.0,2,2
467,0,1,1,56.0,0,0,26.55,2,2
468,0,3,1,29.69911764705882,0,0,7.725,1,2
469,1,3,0,0.75,2,1,19.2583,0,2
470,0,3,1,29.69911764705882,0,0,7.25,2,2
471,0,3,1,38.0,0,0,8.6625,2,2
472,1,2,0,33.0,1,2,27.75,2,2
473,1,2,0,23.0,0,0,13.7917,0,3
474,0,3,0,22.0,0,0,9.8375,2,2
475,0,1,1,29.69911764705882,0,0,52.0,2,0
476,0,2,1,34.0,1,0,21.0,2,2
477,0,3,1,29.0,1,0,7.0458,2,2
478,0,3,1,22.0,0,0,7.5208,2,2
479,1,3,0,2.0,0,1,12.2875,2,2
480,0,3,1,9.0,5,2,46.9,2,2
481,0,2,1,29.69911764705882,0,0,0.0,2,2
482,0,3,1,50.0,0,0,8.05,2,2
483,1,3,0,63.0,0,0,9.5875,2,2
484,1,1,1,25.0,1,0,91.0792,0,1
485,0,3,0,29.69911764705882,3,1,25.4667,2,2
486,1,1,0,35.0,1,0,90.0,2,2
487,0,1,1,58.0,0,0,29.7,0,1
488,0,3,1,30.0,0,0,8.05,2,2
489,1,3,1,9.0,1,1,15.9,2,2
490,0,3,1,29.69911764705882,1,0,19.9667,2,2
491,0,3,1,21.0,0,0,7.25,2,2
492,0,1,1,55.0,0,0,30.5,2,2
493,0,1,1,71.0,0,0,49.5042,0,2
494,0,3,1,21.0,0,0,8.05,2,2
495,0,3,1,29.69911764705882,0,0,14.4583,0,2
496,1,1,0,54.0,1,0,78.2667,0,3
497,0,3,1,29.69911764705882,0,0,15.1,2,2
498,0,1,0,25.0,1,2,151.55,2,2
499,0,3,1,24.0,0,0,7.7958,2,2
500,0,3,1,17.0,0,0,8.6625,2,2
501,0,3,0,21.0,0,0,7.75,1,2
502,0,3,0,29.69911764705882,0,0,7.6292,1,2
503,0,3,0,37.0,0,0,9.5875,2,2
504,1,1,0,16.0,0,0,86.5,2,1
505,0,1,1,18.0,1,0,108.9,0,2
506,1,2,0,33.0,0,2,26.0,2,2
507,1,1,1,29.69911764705882,0,0,26.55,2,2
508,0,3,1,28.0,0,0,22.525,2,2
509,1,3,1,26.0,0,0,56.4958,2,2
510,1,3,1,29.0,0,0,7.75,1,2
511,0,3,1,29.69911764705882,0,0,8.05,2,2
512,1,1,1,36.0,0,0,26.2875,2,4
513,1,1,0,54.0,1,0,59.4,0,2
514,0,3,1,24.0,0,0,7.4958,2,2
515,0,1,1,47.0,0,0,34.0208,2,3
516,1,2,0,34.0,0,0,10.5,2,5
517,0,3,1,29.69911764705882,0,0,24.15,1,2
518,1,2,0,36.0,1,0,26.0,2,2
519,0,3,1,32.0,0,0,7.8958,2,2
520,1,1,0,30.0,0,0,93.5,2,1
521,0,3,1,22.0,0,0,7.8958,2,2
522,0,3,1,29.69911764705882,0,0,7.225,0,2
523,1,1,0,44.0,0,1,57.9792,0,1
524,0,3,1,29.69911764705882,0,0,7.2292,0,2
525,0,3,1,40.5,0,0,7.75,1,2
526,1,2,0,50.0,0,0,10.5,2,2
527,0,1,1,29.69911764705882,0,0,221.7792,2,2
528,0,3,1,39.0,0,0,7.925,2,2
529,0,2,1,23.0,2,1,11.5,2,2
530,1,2,0,2.0,1,1,26.0,2,2
531,0,3,1,29.69911764705882,0,0,7.2292,0,2
532,0,3,1,17.0,1,1,7.2292,0,2
533,1,3,0,29.69911764705882,0,2,22.3583,0,2
534,0,3,0,30.0,0,0,8.6625,2,2
535,1,2,0,7.0,0,2,26.25,2,2
536,0,1,1,45.0,0,0,26.55,2,1
537,1,1,0,30.0,0,0,106.425,0,2
538,0,3,1,29.69911764705882,0,0,14.5,2,2
539,1,1,0,22.0,0,2,49.5,0,1
540,1,1,0,36.0,0,2,71.0,2,1
541,0,3,0,9.0,4,2,31.275,2,2
542,0,3,0,11.0,4,2,31.275,2,2
543,1,2,1,32.0,1,0,26.0,2,2
544,0,1,1,50.0,1,0,106.425,0,2
545,0,1,1,64.0,0,0,26.0,2,2
546,1,2,0,19.0,1,0,26.0,2,2
547,1,2,1,29.69911764705882,0,0,13.8625,0,2
548,0,3,1,33.0,1,1,20.525,2,2
549,1,2,1,8.0,1,1,36.75,2,2
550,1,1,1,17.0,0,2,110.8833,0,2
551,0,2,1,27.0,0,0,26.0,2,2
552,0,3,1,29.69911764705882,0,0,7.8292,1,2
553,1,3,1,22.0,0,0,7.225,0,2
554,1,3,0,22.0,0,0,7.775,2,2
555,0,1,1,62.0,0,0,26.55,2,2
556,1,1,0,48.0,1,0,39.6,0,0
557,0,1,1,29.69911764705882,0,0,227.525,0,2
558,1,1,0,39.0,1,1,79.65,2,4
559,1,3,0,36.0,1,0,17.4,2,2
560,0,3,1,29.69911764705882,0,0,7.75,1,2
561,0,3,1,40.0,0,0,7.8958,2,2
562,0,2,1,28.0,0,0,13.5,2,2
563,0,3,1,29.69911764705882,0,0,8.05,2,2
564,0,3,0,29.69911764705882,0,0,8.05,2,2
565,0,3,1,24.0,2,0,24.15,2,2
566,0,3,1,19.0,0,0,7.8958,2,2
567,0,3,0,29.0,0,4,21.075,2,2
568,0,3,1,29.69911764705882,0,0,7.2292,0,2
569,1,3,1,32.0,0,0,7.8542,2,2
570,1,2,1,62.0,0,0,10.5,2,2
571,1,1,0,53.0,2,0,51.4792,2,2
572,1,1,1,36.0,0,0,26.3875,2,4
573,1,3,0,29.69911764705882,0,0,7.75,1,2
574,0,3,1,16.0,0,0,8.05,2,2
575,0,3,1,19.0,0,0,14.5,2,2
576,1,2,0,34.0,0,0,13.0,2,2
577,1,1,0,39.0,1,0,55.9,2,4
578,0,3,0,29.69911764705882,1,0,14.4583,0,2
579,1,3,1,32.0,0,0,7.925,2,2
580,1,2,0,25.0,1,1,30.0,2,2
581,1,1,0,39.0,1,1,110.8833,0,2
582,0,2,1,54.0,0,0,26.0,2,2
583,0,1,1,36.0,0,0,40.125,0,0
584,0,3,1,29.69911764705882,0,0,8.7125,0,2
585,1,1,0,18.0,0,2,79.65,2,4
586,0,2,1,47.0,0,0,15.0,2,2
587,1,1,1,60.0,1,1,79.2,0,1
588,0,3,1,22.0,0,0,8.05,2,2
589,0,3,1,29.69911764705882,0,0,8.05,2,2
590,0,3,1,35.0,0,0,7.125,2,2
591,1,1,0,52.0,1,0,78.2667,0,3
592,0,3,1,47.0,0,0,7.25,2,2
593,0,3,0,29.69911764705882,0,2,7.75,1,2
594,0,2,1,37.0,1,0,26.0,2,2
595,0,3,1,36.0,1,1,24.15,2,2
596,1,2,0,29.69911764705882,0,0,33.0,2,2
597,0,3,1,49.0,0,0,0.0,2,2
598,0,3,1,29.69911764705882,0,0,7.225,0,2
599,1,1,1,49.0,1,0,56.9292,0,0
600,1,2,0,24.0,2,1,27.0,2,2
601,0,3,1,29.69911764705882,0,0,7.8958,2,2
602,0,1,1,29.69911764705882,0,0,42.4,2,2
603,0,3,1,44.0,0,0,8.05,2,2
604,1,1,1,35.0,0,0,26.55,0,2
605,0,3,1,36.0,1,0,15.55,2,2
606,0,3,1,30.0,0,0,7.8958,2,2
607,1,1,1,27.0,0,0,30.5,2,2
608,1,2,0,22.0,1,2,41.5792,0,2
609,1,1,0,40.0,0,0,153.4625,2,2
610,0,3,0,39.0,1,5,31.275,2,2
611,0,3,1,29.69911764705882,0,0,7.05,2,2
612,1,3,0,29.69911764705882,1,0,15.5,1,2
613,0,3,1,29.69911764705882,0,0,7.75,1,2
614,0,3,1,35.0,0,0,8.05,2,2
615,1,2,0,24.0,1,2,65.0,2,2
616,0,3,1,34.0,1,1,14.4,2,2
617,0,3,0,26.0,1,0,16.1,2,2
618,1,2,0,4.0,2,1,39.0,2,5
619,0,2,1,26.0,0,0,10.5,2,2
620,0,3,1,27.0,1,0,14.4542,0,2
621,1,1,1,42.0,1,0,52.5542,2,3
622,1,3,1,20.0,1,1,15.7417,0,2
623,0,3,1,21.0,0,0,7.8542,2,2
624,0,3,1,21.0,0,0,16.1,2,2
625,0,1,1,61.0,0,0,32.3208,2,3
626,0,2,1,57.0,0,0,12.35,1,2
627,1,1,0,21.0,0,0,77.9583,2,3
628,0,3,1,26.0,0,0,7.8958,2,2
629,0,3,1,29.69911764705882,0,0,7.7333,1,2
630,1,1,1,80.0,0,0,30.0,2,0
631,0,3,1,51.0,0,0,7.0542,2,2
632,1,1,1,32.0,0,0,30.5,0,1
633,0,1,1,29.69911764705882,0,0,0.0,2,2
634,0,3,0,9.0,3,2,27.9,2,2
635,1,2,0,28.0,0,0,13.0,2,2
636,0,3,1,32.0,0,0,7.925,2,2
637,0,2,1,31.0,1,1,26.25,2,2
638,0,3,0,41.0,0,5,39.6875,2,2
639,0,3,1,29.69911764705882,1,0,16.1,2,2
640,0,3,1,20.0,0,0,7.8542,2,2
641,1,1,0,24.0,0,0,69.3,0,1
642,0,3,0,2.0,3,2,27.9,2,2
643,1,3,1,29.69911764705882,0,0,56.4958,2,2
644,1,3,0,0.75,2,1,19.2583,0,2
645,1,1,1,48.0,1,0,76.7292,0,3
646,0,3,1,19.0,0,0,7.8958,2,2
647,1,1,1,56.0,0,0,35.5,0,0
648,0,3,1,29.69911764705882,0,0,7.55,2,2
649,1,3,0,23.0,0,0,7.55,2,2
650,0,3,1,29.69911764705882,0,0,7.8958,2,2
651,1,2,0,18.0,0,1,23.0,2,2
652,0,3,1,21.0,0,0,8.4333,2,2
653,1,3,0,29.69911764705882,0,0,7.8292,1,2
654,0,3,0,18.0,0,0,6.75,1,2
655,0,2,1,24.0,2,0,73.5,2,2
656,0,3,1,29.69911764705882,0,0,7.8958,2,2
657,0,3,0,32.0,1,1,15.5,1,2
658,0,2,1,23.0,0,0,13.0,2,2
659,0,1,1,58.0,0,2,113.275,0,3
660,1,1,1,50.0,2,0,133.65,2,2
661,0,3,1,40.0,0,0,7.225,0,2
662,0,1,1,47.0,0,0,25.5875,2,4
663,0,3,1,36.0,0,0,7.4958,2,2
664,1,3,1,20.0,1,0,7.925,2,2
665,0,2,1,32.0,2,0,73.5,2,2
666,0,2,1,25.0,0,0,13.0,2,2
667,0,3,1,29.69911764705882,0,0,7.775,2,2
668,0,3,1,43.0,0,0,8.05,2,2
669,1,1,0,29.69911764705882,1,0,52.0,2,2
670,1,2,0,40.0,1,1,39.0,2,2
671,0,1,1,31.0,1,0,52.0,2,1
672,0,2,1,70.0,0,0,10.5,2,2
673,1,2,1,31.0,0,0,13.0,2,2
674,0,2,1,29.69911764705882,0,0,0.0,2,2
675,0,3,1,18.0,0,0,7.775,2,2
676,0,3,1,24.5,0,0,8.05,2,2
677,1,3,0,18.0,0,0,9.8417,2,2
678,0,3,0,43.0,1,6,46.9,2,2
679,1,1,1,36.0,0,1,512.3292,0,1
680,0,3,0,29.69911764705882,0,0,8.1375,1,2
681,1,1,1,27.0,0,0,76.7292,0,3
682,0,3,1,20.0,0,0,9.225,2,2
683,0,3,1,14.0,5,2,46.9,2,2
684,0,2,1,60.0,1,1,39.0,2,2
685,0,2,1,25.0,1,2,41.5792,0,2
686,0,3,1,14.0,4,1,39.6875,2,2
687,0,3,1,19.0,0,0,10.1708,2,2
688,0,3,1,18.0,0,0,7.7958,2,2
689,1,1,0,15.0,0,1,211.3375,2,1
690,1,1,1,31.0,1,0,57.0,2,1
691,1,3,0,4.0,0,1,13.4167,0,2
692,1,3,1,29.69911764705882,0,0,56.4958,2,2
693,0,3,1,25.0,0,0,7.225,0,2
694,0,1,1,60.0,0,0,26.55,2,2
695,0,2,1,52.0,0,0,13.5,2,2
696,0,3,1,44.0,0,0,8.05,2,2
697,1,3,0,29.69911764705882,0,0,7.7333,1,2
698,0,1,1,49.0,1,1,110.8833,0,2
699,0,3,1,42.0,0,0,7.65,2,5
700,1,1,0,18.0,1,0,227.525,0,2
701,1,1,1,35.0,0,0,26.2875,2,4
702,0,3,0,18.0,0,1,14.4542,0,2
703,0,3,1,25.0,0,0,7.7417,1,2
704,0,3,1,26.0,1,0,7.8542,2,2
705,0,2,1,39.0,0,0,26.0,2,2
706,1,2,0,45.0,0,0,13.5,2,2
707,1,1,1,42.0,0,0,26.2875,2,4
708,1,1,0,22.0,0,0,151.55,2,2
709,1,3,1,29.69911764705882,1,1,15.2458,0,2
710,1,1,0,24.0,0,0,49.5042,0,2
711,0,1,1,29.69911764705882,0,0,26.55,2,2
712,1,1,1,48.0,1,0,52.0,2,2
713,0,3,1,29.0,0,0,9.4833,2,2
714,0,2,1,52.0,0,0,13.0,2,2
715,0,3,1,19.0,0,0,7.65,2,5
716,1,1,0,38.0,0,0,227.525,0,2
717,1,2,0,27.0,0,0,10.5,2,4
718,0,3,1,29.69911764705882,0,0,15.5,1,2
719,0,3,1,33.0,0,0,7.775,2,2
720,1,2,0,6.0,0,1,33.0,2,2
721,0,3,1,17.0,1,0,7.0542,2,2
722,0,2,1,34.0,0,0,13.0,2,2
723,0,2,1,50.0,0,0,13.0,2,2
724,1,1,1,27.0,1,0,53.1,2,4
725,0,3,1,20.0,0,0,8.6625,2,2
726,1,2,0,30.0,3,0,21.0,2,2
727,1,3,0,29.69911764705882,0,0,7.7375,1,2
728,0,2,1,25.0,1,0,26.0,2,2
729,0,3,0,25.0,1,0,7.925,2,2
730,1,1,0,29.0,0,0,211.3375,2,1
731,0,3,1,11.0,0,0,18.7875,0,2
732,0,2,1,29.69911764705882,0,0,0.0,2,2
733,0,2,1,23.0,0,0,13.0,2,2
734,0,2,1,23.0,0,0,13.0,2,2
735,0,3,1,28.5,0,0,16.1,2,2
736,0,3,0,48.0,1,3,34.375,2,2
737,1,1,1,35.0,0,0,512.3292,0,1
738,0,3,1,29.69911764705882,0,0,7.8958,2,2
739,0,3,1,29.69911764705882,0,0,7.8958,2,2
740,1,1,1,29.69911764705882,0,0,30.0,2,3
741,0,1,1,36.0,1,0,78.85,2,2
742,1,1,0,21.0,2,2,262.375,0,1
743,0,3,1,24.0,1,0,16.1,2,2
744,1,3,1,31.0,0,0,7.925,2,2
745,0,1,1,70.0,1,1,71.0,2,1
746,0,3,1,16.0,1,1,20.25,2,2
747,1,2,0,30.0,0,0,13.0,2,2
748,0,1,1,19.0,1,0,53.1,2,3
749,0,3,1,31.0,0,0,7.75,1,2
750,1,2,0,4.0,1,1,23.0,2,2
751,1,3,1,6.0,0,1,12.475,2,4
752,0,3,1,33.0,0,0,9.5,2,2
753,0,3,1,23.0,0,0,7.8958,2,2
754,1,2,0,48.0,1,2,65.0,2,2
755,1,2,1,0.67,1,1,14.5,2,2
756,0,3,1,28.0,0,0,7.7958,2,2
757,0,2,1,18.0,0,0,11.5,2,2
758,0,3,1,34.0,0,0,8.05,2,2
759,1,1,0,33.0,0,0,86.5,2,1
760,0,3,1,29.69911764705882,0,0,14.5,2,2
761,0,3,1,41.0,0,0,7.125,2,2
762,1,3,1,20.0,0,0,7.2292,0,2
763,1,1,0,36.0,1,2,120.0,2,1
764,0,3,1,16.0,0,0,7.775,2,2
765,1,1,0,51.0,1,0,77.9583,2,3
766,0,1,1,29.69911764705882,0,0,39.6,0,2
767,0,3,0,30.5,0,0,7.75,1,2
768,0,3,1,29.69911764705882,1,0,24.15,1,2
769,0,3,1,32.0,0,0,8.3625,2,2
770,0,3,1,24.0,0,0,9.5,2,2
771,0,3,1,48.0,0,0,7.8542,2,2
772,0,2,0,57.0,0,0,10.5,2,4
773,0,3,1,29.69911764705882,0,0,7.225,0,2
774,1,2,0,54.0,1,3,23.0,2,2
775,0,3,1,18.0,0,0,7.75,2,2
776,0,3,1,29.69911764705882,0,0,7.75,1,5
777,1,3,0,5.0,0,0,12.475,2,2
778,0,3,1,29.69911764705882,0,0,7.7375,1,2
779,1,1,0,43.0,0,1,211.3375,2,1
780,1,3,0,13.0,0,0,7.2292,0,2
781,1,1,0,17.0,1,0,57.0,2,1
782,0,1,1,29.0,0,0,30.0,2,3
783,0,3,1,29.69911764705882,1,2,23.45,2,2
784,0,3,1,25.0,0,0,7.05,2,2
785,0,3,1,25.0,0,0,7.25,2,2
786,1,3,0,18.0,0,0,7.4958,2,2
787,0,3,1,8.0,4,1,29.125,1,2
788,1,3,1,1.0,1,2,20.575,2,2
789,0,1,1,46.0,0,0,79.2,0,1
790,0,3,1,29.69911764705882,0,0,7.75,1,2
791,0,2,1,16.0,0,0,26.0,2,2
792,0,3,0,29.69911764705882,8,2,69.55,2,2
793,0,1,1,29.69911764705882,0,0,30.6958,0,2
794,0,3,1,25.0,0,0,7.8958,2,2
795,0,2,1,39.0,0,0,13.0,2,2
796,1,1,0,49.0,0,0,25.9292,2,3
797,1,3,0,31.0,0,0,8.6833,2,2
798,0,3,1,30.0,0,0,7.2292,0,2
799,0,3,0,30.0,1,1,24.15,2,2
800,0,2,1,34.0,0,0,13.0,2,2
801,1,2,0,31.0,1,1,26.25,2,2
802,1,1,1,11.0,1,2,120.0,2,1
803,1,3,1,0.42,0,1,8.5167,0,2
804,1,3,1,27.0,0,0,6.975,2,2
805,0,3,1,31.0,0,0,7.775,2,2
806,0,1,1,39.0,0,0,0.0,2,0
807,0,3,0,18.0,0,0,7.775,2,2
808,0,2,1,39.0,0,0,13.0,2,2
809,1,1,0,33.0,1,0,53.1,2,4
810,0,3,1,26.0,0,0,7.8875,2,2
811,0,3,1,39.0,0,0,24.15,2,2
812,0,2,1,35.0,0,0,10.5,2,2
813,0,3,0,6.0,4,2,31.275,2,2
814,0,3,1,30.5,0,0,8.05,2,2
815,0,1,1,29.69911764705882,0,0,0.0,2,1
816,0,3,0,23.0,0,0,7.925,2,2
817,0,2,1,31.0,1,1,37.0042,0,2
818,0,3,1,43.0,0,0,6.45,2,2
819,0,3,1,10.0,3,2,27.9,2,2
820,1,1,0,52.0,1,1,93.5,2,1
821,1,3,1,27.0,0,0,8.6625,2,2
822,0,1,1,38.0,0,0,0.0,2,2
823,1,3,0,27.0,0,1,12.475,2,4
824,0,3,1,2.0,4,1,39.6875,2,2
825,0,3,1,29.69911764705882,0,0,6.95,1,2
826,0,3,1,29.69911764705882,0,0,56.4958,2,2
827,1,2,1,1.0,0,2,37.0042,0,2
828,1,3,1,29.69911764705882,0,0,7.75,1,2
829,1,1,0,62.0,0,0,80.0,-1,1
830,1,3,0,15.0,1,0,14.4542,0,2
831,1,2,1,0.83,1,1,18.75,2,2
832,0,3,1,29.69911764705882,0,0,7.2292,0,2
833,0,3,1,23.0,0,0,7.8542,2,2
834,0,3,1,18.0,0,0,8.3,2,2
835,1,1,0,39.0,1,1,83.1583,0,4
836,0,3,1,21.0,0,0,8.6625,2,2
837,0,3,1,29.69911764705882,0,0,8.05,2,2
838,1,3,1,32.0,0,0,56.4958,2,2
839,1,1,1,29.69911764705882,0,0,29.7,0,2
840,0,3,1,20.0,0,0,7.925,2,2
841,0,2,1,16.0,0,0,10.5,2,2
842,1,1,0,30.0,0,0,31.0,0,2
843,0,3,1,34.5,0,0,6.4375,0,2
844,0,3,1,17.0,0,0,8.6625,2,2
845,0,3,1,42.0,0,0,7.55,2,2
846,0,3,1,29.69911764705882,8,2,69.55,2,2
847,0,3,1,35.0,0,0,7.8958,0,2
848,0,2,1,28.0,0,1,33.0,2,2
849,1,1,0,29.69911764705882,1,0,89.1042,0,2
850,0,3,1,4.0,4,2,31.275,2,2
851,0,3,1,74.0,0,0,7.775,2,2
852,0,3,0,9.0,1,1,15.2458,0,2
853,1,1,0,16.0,0,1,39.4,2,3
854,0,2,0,44.0,1,0,26.0,2,2
855,1,3,0,18.0,0,1,9.35,2,2
856,1,1,0,45.0,1,1,164.8667,2,2
857,1,1,1,51.0,0,0,26.55,2,4
858,1,3,0,24.0,0,3,19.2583,0,2
859,0,3,1,29.69911764705882,0,0,7.2292,0,2
860,0,3,1,41.0,2,0,14.1083,2,2
861,0,2,1,21.0,1,0,11.5,2,2
862,1,1,0,48.0,0,0,25.9292,2,3
863,0,3,0,29.69911764705882,8,2,69.55,2,2
864,0,2,1,24.0,0,0,13.0,2,2
865,1,2,0,42.0,0,0,13.0,2,2
866,1,2,0,27.0,1,0,13.8583,0,2
867,0,1,1,31.0,0,0,50.4958,2,0
868,0,3,1,29.69911764705882,0,0,9.5,2,2
869,1,3,1,4.0,1,1,11.1333,2,2
870,0,3,1,26.0,0,0,7.8958,2,2
871,1,1,0,47.0,1,1,52.5542,2,3
872,0,1,1,33.0,0,0,5.0,2,1
873,0,3,1,47.0,0,0,9.0,2,2
874,1,2,0,28.0,1,0,24.0,0,2
875,1,3,0,15.0,0,0,7.225,0,2
876,0,3,1,20.0,0,0,9.8458,2,2
877,0,3,1,19.0,0,0,7.8958,2,2
878,0,3,1,29.69911764705882,0,0,7.8958,2,2
879,1,1,0,56.0,0,1,83.1583,0,2
880,1,2,0,25.0,0,1,26.0,2,2
881,0,3,1,33.0,0,0,7.8958,2,2
882,0,3,0,22.0,0,0,10.5167,2,2
883,0,2,1,28.0,0,0,10.5,2,2
884,0,3,1,25.0,0,0,7.05,2,2
885,0,3,0,39.0,0,5,29.125,1,2
886,0,2,1,27.0,0,0,13.0,2,2
887,1,1,0,19.0,0,0,30.0,2,1
888,0,3,0,29.69911764705882,1,2,23.45,2,2
889,1,1,1,26.0,0,0,30.0,0,2
890,0,3,1,32.0,0,0,7.75,1,2
